"","id","sexo","fechnac","educ","catlab","salario_actual","salario_inicial","antiguedad","experiencia","minoría","directivo"
"113",113,1,1959-10-06,16,3,54875,27480,90,68,0,1
"114",114,1,1961-08-25,14,1,37800,16500,90,60,0,0
"115",115,1,1961-05-12,15,1,33450,14100,90,85,0,0
"116",116,1,1962-06-09,15,1,30300,16500,90,16,0,0
"117",117,0,1932-01-14,12,1,31500,18750,90,205,0,0
"118",118,0,1964-03-04,12,1,31650,14250,90,48,0,0
"119",119,0,1963-07-23,12,1,25200,14100,90,55,0,0
"120",120,0,1964-11-12,16,3,37800,15750,90,7,0,1
"121",121,0,1936-08-06,15,1,18750,10500,90,54,0,0
"122",122,0,1965-09-26,15,1,32550,13500,90,22,0,0
"123",123,0,1949-04-24,12,1,33300,15000,90,3,0,0
"124",124,0,1963-05-29,16,1,38550,16500,90,0,0,0
"125",125,1,1956-08-06,12,1,27450,15000,90,173,1,0
"126",126,1,1951-01-21,15,2,24300,15000,90,191,1,0
"127",127,1,1950-09-01,12,2,30750,15000,90,209,1,0
"128",128,0,1946-07-25,12,1,19650,9750,90,229,1,0
"129",129,1,1959-07-18,17,3,68750,27510,89,38,0,1
"130",130,1,1958-09-06,20,3,59375,30000,89,6,0,1
"131",131,1,1962-02-08,15,1,31500,15750,89,22,0,0
"132",132,1,1953-05-17,12,1,27300,17250,89,175,0,0
"133",133,1,1959-09-12,15,1,27000,15750,89,87,0,0
"134",134,0,1941-11-10,16,3,41550,24990,89,285,0,1
"135",135,0,1968-05-22,12,1,26250,10950,89,0,0,0
"136",136,1,1939-08-25,12,1,22200,15000,88,324,0,0
"137",137,1,1937-07-12,21,3,65000,37500,88,264,0,1
"138",138,1,1947-01-09,12,1,30900,15000,88,252,0,0
"139",139,0,1931-06-18,8,1,20100,13200,88,90,0,0
"140",140,0,1965-04-05,12,1,22350,13500,88,26,0,0
"141",141,0,1966-06-14,15,1,35550,13350,88,32,0,0
"142",142,0,1966-11-13,12,1,28500,13950,88,34,0,0
"143",143,0,1939-08-24,12,1,24450,13200,88,107,0,0
"144",144,0,1931-08-28,8,1,16650,9750,88,412,0,0
"145",145,1,1964-01-15,12,1,26700,13500,88,38,1,0
"146",146,1,1951-01-02,18,1,43950,23250,88,182,1,0
"147",147,1,1936-09-11,15,1,23700,13500,88,359,1,0
"148",148,0,1959-10-05,15,1,26550,14250,88,61,1,0
"149",149,1,1962-06-28,12,1,27600,15000,87,75,0,0
"150",150,1,1954-03-05,12,1,25800,15000,87,143,0,0
"151",151,1,1954-08-16,16,3,42300,26250,87,126,0,1
"152",152,1,1929-05-03,8,2,30750,15000,87,451,0,0
"153",153,0,1967-05-13,12,1,26700,12900,87,18,0,0
"154",154,0,1940-06-07,12,1,20850,12000,87,163,0,0
"155",155,1,1963-03-06,15,1,35250,15000,87,54,1,0
"156",156,1,1963-01-12,15,1,26700,15000,87,56,1,0
"157",157,0,1967-07-02,12,1,26550,13050,87,11,1,0
"158",158,0,1964-09-20,12,1,27750,12000,87,11,1,0
"159",159,0,1951-01-13,16,1,25050,12750,87,123,1,0
"160",160,1,1951-08-27,16,3,66000,47490,86,150,0,1
"161",161,1,1963-02-11,16,1,52650,19500,86,20,0,0
"162",162,1,1961-05-25,16,3,45625,23250,86,60,0,1
"163",163,1,1965-11-10,15,1,30900,15000,86,25,0,0
"164",164,0,1965-08-13,15,1,29400,16500,86,24,0,0
"165",165,0,1966-04-29,15,1,33300,13500,86,24,0,0
"166",166,0,1942-07-12,12,1,21900,9750,86,156,0,0
"167",167,0,1932-08-26,12,1,18150,9750,86,72,0,0
"168",168,0,1962-04-23,16,3,46875,17250,86,19,0,1
"169",169,1,1965-05-23,12,1,25500,14400,86,37,1,0
"170",170,1,1964-06-13,12,1,26550,15000,86,38,1,0
"171",171,1,1930-01-21,12,1,26700,13500,86,367,1,0
"172",172,0,1953-06-13,15,1,29850,15000,86,79,1,0
"173",173,1,1950-01-15,20,3,69250,42480,85,134,0,1
"174",174,1,1935-01-07,8,2,31950,15000,85,438,0,0
"175",175,1,1938-01-08,8,1,26250,15600,85,171,0,0
"176",176,0,1962-10-05,16,1,35700,17250,85,19,0,0
"177",177,0,1962-08-11,12,1,28500,16500,85,69,0,0
"178",178,0,1938-01-17,12,1,17100,10200,85,72,0,0
"179",179,1,1965-01-19,12,1,25200,13050,85,29,1,0
"180",180,0,1960-01-23,12,1,24000,12750,85,59,1,0
"181",181,0,1939-01-04,12,1,27450,10200,85,101,1,0
"182",182,0,1943-03-08,12,1,18450,10200,85,228,1,0
"183",183,1,1960-03-01,15,1,39300,15750,84,72,0,0
"184",184,1,1964-11-05,15,1,38850,15000,84,53,0,0
"185",185,1,1930-08-28,8,2,30750,15000,84,380,0,0
"186",186,1,1964-07-06,15,1,37500,20400,84,33,0,0
"187",187,1,1963-07-29,16,3,58750,21750,84,13,0,1
"188",188,0,1934-02-04,12,1,34500,18750,84,208,0,0
"189",189,0,1950-03-28,12,1,36000,19980,84,240,0,0
"190",190,0,1932-11-15,8,1,29100,16500,84,35,0,0
"191",191,0,1931-10-23,12,1,16500,10200,84,288,0,0
"192",192,1,1949-10-09,12,1,19650,12750,84,180,1,0
"193",193,0,1966-07-22,12,1,24750,12000,84,41,1,0
"194",194,0,1938-04-10,15,1,27150,15750,84,231,1,0
"195",195,0,1955-11-06,12,1,26400,12750,84,36,1,0
"196",196,0,1946-03-03,16,1,23100,12000,84,214,1,0
"197",197,1,1962-10-01,15,3,54900,25500,83,49,0,1
"198",198,1,1952-03-17,19,3,70875,43500,83,156,0,1
"199",199,1,1958-02-02,16,3,51250,27480,83,69,0,1
"200",200,1,1963-02-13,17,3,67500,34980,83,9,0,1
"201",201,1,1955-05-08,12,1,29340,19500,83,150,0,0
"202",202,1,1963-03-17,15,1,39600,16500,83,47,0,0
"203",203,1,1964-03-17,12,1,29100,15000,83,50,0,0
"204",204,1,1960-10-21,15,1,33150,16500,83,69,0,0
"205",205,1,1944-06-22,16,3,66750,52500,83,258,0,1
"206",206,1,1943-05-22,12,2,33750,15000,83,284,0,0
"207",207,1,1959-02-15,15,1,27300,17250,83,91,0,0
"208",208,0,1968-11-28,12,1,24000,11250,83,16,0,0
"209",209,0,1934-01-14,8,1,19800,10200,83,75,0,0
"210",210,1,1949-05-04,15,1,30600,16500,83,216,1,0
"211",211,1,1950-11-08,15,1,28950,15000,83,108,1,0
"212",212,1,1965-05-14,15,1,38400,16500,83,64,1,0
"213",213,1,1945-10-20,8,2,30750,15000,83,302,1,0
"214",214,0,1968-09-13,12,1,20400,10950,83,9,1,0
"215",215,0,1968-09-15,12,1,19200,11100,83,7,1,0
"216",216,1,1964-05-16,15,1,30150,15750,82,72,0,0
"217",217,1,1949-03-15,16,1,34620,27750,82,149,0,0
"218",218,1,1964-03-21,15,1,80000,15750,82,34,0,0
"219",219,1,1963-02-02,12,1,25350,15000,82,32,0,0
"220",220,1,1963-08-17,12,1,29850,15750,82,85,0,0
"221",221,0,1947-05-22,12,1,24000,13800,82,97,0,0
"222",222,0,1935-09-15,15,1,27750,19500,82,265,0,0
"223",223,0,1942-03-14,8,1,22350,10200,82,48,0,0
"224",224,0,1934-11-20,12,1,16200,10200,82,0,0,0
"225",225,0,1967-10-13,15,1,21900,12750,82,0,0,0
"226",226,0,1964-06-21,16,1,23250,15750,82,4,0,0
"227",227,0,1965-07-17,12,1,33900,12000,82,11,0,0
"228",228,0,1963-09-21,15,1,25650,14250,82,51,0,0
"229",229,0,1940-08-21,12,1,17250,10200,82,358,0,0
"230",230,1,1934-02-04,15,1,22500,15000,82,371,1,0
"231",231,1,1965-01-09,16,3,40200,21000,81,3,0,1
"232",232,1,1963-09-13,19,3,55500,33750,81,62,0,1
"233",233,1,1963-07-21,15,1,26550,15000,81,52,0,0
"234",234,1,1960-11-12,15,1,50550,19500,81,44,0,0
"235",235,1,1962-09-11,19,3,75000,31500,81,13,0,1
"236",236,0,1969-05-02,8,1,27450,12000,81,9,0,0
"237",237,0,1969-06-04,12,1,22650,11250,81,0,0,0
"238",238,0,1969-06-15,12,1,27300,11250,81,5,0,0
"239",239,0,1969-09-14,12,1,27750,11225,81,5,0,0
"240",240,0,1961-06-15,16,3,54375,18750,81,81,0,1
"241",241,0,1936-08-27,8,1,17400,10200,81,390,0,0
"242",242,0,1967-11-03,12,1,40800,18000,81,4,0,0
"243",243,0,1969-02-10,12,1,23100,10950,81,0,0,0
"244",244,0,1969-09-15,8,1,22500,10950,81,5,0,0
"245",245,0,1969-03-16,12,1,26700,11550,81,18,0,0
"246",246,0,1968-01-14,12,1,24900,11250,81,0,0,0
"247",247,0,1968-05-13,12,1,19650,10950,81,11,0,0
"248",248,0,1969-04-09,12,1,22050,10950,81,9,0,0
"249",249,0,1969-05-09,12,1,25500,12000,81,11,0,0
"250",250,0,1966-10-10,15,1,28200,12750,81,19,0,0
"251",251,0,1969-01-19,12,1,23100,11250,81,13,0,0
"252",252,1,1969-09-18,12,1,25500,11400,81,9,1,0
"253",253,0,1942-02-21,8,1,17100,10200,81,0,1,0
"254",254,1,1964-02-08,18,3,68125,32490,80,29,0,1
"255",255,1,1932-08-15,12,2,30600,15750,80,460,0,0
"256",256,1,1948-01-03,19,3,52125,27480,80,221,0,1
"257",257,1,1951-09-24,19,3,61875,36750,80,199,0,1
"258",258,1,1969-03-09,8,1,21300,11550,80,24,0,0
"259",259,0,1969-03-15,12,1,19650,11250,80,5,0,0
"260",260,0,1969-02-20,12,1,22350,11250,80,5,0,0
"261",261,0,1969-03-27,12,1,23400,11250,80,18,0,0
"262",262,0,1968-06-20,12,1,24300,10950,80,8,0,0
"263",263,0,1968-10-13,12,1,28500,11250,80,4,0,0
"264",264,0,1969-01-16,12,1,19950,11250,80,8,0,0
"265",265,0,1969-09-24,12,1,23400,11250,80,0,0,0
"266",266,0,1963-10-07,16,1,34500,17250,80,3,0,0
"267",267,0,1969-08-24,12,1,18150,10950,80,0,0,0
"268",268,1,1936-05-16,12,1,22350,15000,80,272,1,0
"269",269,1,1966-03-17,15,1,40200,17250,79,38,0,0
"270",270,1,1947-10-29,15,1,28650,18000,79,261,0,0
"271",271,1,1963-08-24,15,1,27750,16500,79,55,0,0
"272",272,1,1964-06-17,18,1,66875,31980,79,30,0,0
"273",273,1,1939-11-12,12,2,30000,15750,79,308,0,0
"274",274,1,1964-08-04,16,3,83750,21750,79,12,0,1
"275",275,1,1963-01-14,12,1,33900,16500,79,94,0,0
"276",276,1,1965-05-11,16,3,56500,21000,79,12,0,1
"277",277,0,1965-05-20,16,3,43000,17490,79,20,0,1
"278",278,0,1943-06-12,8,1,20850,12000,79,70,0,0
"279",279,0,1969-04-16,12,1,24450,12000,79,8,0,0
"280",280,0,1969-10-20,12,1,24750,10950,79,5,0,0
"281",281,1,1945-02-18,8,2,34500,15750,79,246,1,0
"282",282,1,1963-09-15,14,1,27900,15000,79,47,1,0
"283",283,1,1963-02-25,19,3,68125,32010,78,35,0,1
"284",284,1,1961-10-10,19,3,73500,33000,78,45,0,1
"285",285,1,1930-05-28,8,2,30750,15750,78,429,0,0
"286",286,1,1958-03-07,15,3,40050,25500,78,133,0,1
"287",287,1,1965-01-18,16,1,40350,19500,78,20,0,0
"288",288,1,1955-01-22,15,3,38700,23730,78,176,0,1
"289",289,1,1964-10-27,17,3,65000,30750,78,26,0,1
"290",290,1,1954-04-05,18,3,51450,36240,78,149,0,1
"291",291,1,1934-09-23,12,2,35250,15750,78,387,0,0
"292",292,1,1963-05-07,14,1,25950,15000,78,53,0,0
"293",293,1,1965-09-19,15,1,25050,14250,78,24,0,0
"294",294,1,1968-10-10,12,1,26700,12750,78,25,0,0
"295",295,1,1932-08-20,8,1,24000,15750,78,476,0,0
"296",296,1,1964-02-12,12,1,26850,15000,78,48,0,0
"297",297,0,1942-04-16,12,1,23400,15300,78,209,0,0
"298",298,0,1966-08-24,12,1,24600,13500,78,47,0,0
"299",299,0,1965-05-11,15,1,32550,18000,78,6,0,0
"300",300,1,1960-05-26,16,1,26550,15000,78,105,1,0
"301",301,1,1968-08-04,12,1,31500,13500,78,7,1,0
"302",302,1,1939-09-28,8,1,22350,15000,78,320,1,0
"303",303,1,1938-02-10,12,2,35250,15750,78,281,1,0
"304",304,0,1945-09-28,15,1,25800,13500,78,51,1,0
"305",305,1,1941-10-25,12,2,30750,15750,77,317,0,0
"306",306,1,1966-04-05,15,1,30750,16500,77,41,0,0
"307",307,1,1945-07-24,16,3,50000,32490,77,264,0,1
"308",308,1,1963-02-01,15,1,34500,18000,77,63,0,0
"309",309,1,1964-07-19,15,1,26250,15750,77,38,0,0
"310",310,1,1964-03-23,16,1,44875,21240,77,22,0,0
"311",311,0,1951-02-15,12,1,22500,12000,77,63,0,0
"312",312,0,1963-03-12,12,1,25650,14250,77,64,0,0
"313",313,0,1969-10-25,12,1,21300,11250,77,0,0,0
"314",314,0,1966-11-24,12,1,29850,13500,77,38,0,0
"315",315,0,1969-09-19,12,1,34500,12150,77,4,0,0
"316",316,1,1960-01-14,15,1,27750,15000,77,52,1,0
"317",317,1,1969-02-27,12,1,27750,11550,77,12,1,0
"318",318,1,1961-02-19,16,3,48750,21990,76,61,0,1
"319",319,1,1966-03-02,15,1,43410,15750,76,12,0,0
"320",320,1,1936-11-10,12,1,22050,15000,76,385,0,0
"321",321,0,1953-10-26,12,1,22050,12000,76,6,0,0
"322",322,0,1938-03-02,12,1,22500,14250,76,90,0,0
"323",323,0,1967-05-13,15,1,25500,12000,76,7,0,0
"324",324,0,1966-10-14,12,1,29160,15000,76,22,0,0
"325",325,0,1934-11-04,8,1,16800,10200,76,76,0,0
"326",326,1,1958-07-24,8,2,29550,15750,76,144,1,0
"327",327,1,1965-03-02,12,1,26700,15750,76,18,1,0
"328",328,1,1952-10-25,18,3,55000,32490,75,125,0,1
"329",329,1,1958-08-24,18,3,62500,34980,75,74,0,1
"330",330,1,1959-05-09,15,1,27300,17250,75,132,0,0
"331",331,0,1942-02-04,12,1,24450,12000,75,144,0,0
"332",332,0,1964-05-10,16,1,33000,18000,75,26,0,0
"333",333,0,1965-01-26,15,1,37050,18000,75,5,0,0
"334",334,0,1966-05-09,12,1,24450,10950,75,32,1,0
"335",335,1,1930-02-26,8,2,31950,15750,74,408,0,0
"336",336,1,1964-01-10,16,3,47250,21240,74,45,0,1
"337",337,0,1970-01-27,12,1,26100,11550,74,2,0,0
"338",338,0,1938-08-12,8,1,15900,10200,74,43,0,0
"339",339,0,1942-11-07,8,1,23700,10650,74,281,0,0
"340",340,0,1934-05-06,8,1,21750,12450,74,318,0,0
"341",341,1,1945-01-20,12,3,59400,33750,74,272,1,1
"342",342,0,1948-06-01,12,1,24450,14250,74,117,1,0
"343",343,1,1953-06-09,16,3,103500,60000,73,150,0,1
"344",344,1,1963-10-13,12,1,35700,16500,73,72,0,0
"345",345,0,1969-05-05,12,1,22200,16500,73,7,0,0
"346",346,0,1968-08-16,15,1,22950,13950,73,22,0,0
"347",347,0,1944-08-10,12,1,23100,12000,73,228,0,0
"348",348,0,1962-06-11,16,3,56750,30000,73,15,0,1
"349",349,0,1938-03-22,17,1,29100,12750,73,375,0,0
"350",350,0,1939-04-21,12,1,37650,15750,73,132,0,0
"351",351,0,1966-01-27,12,1,27900,13500,73,32,0,0
"352",352,0,1933-11-26,8,1,21150,12000,73,159,0,0
"353",353,1,1955-03-10,12,2,31200,15750,73,155,1,0
"354",354,0,1946-05-08,12,1,20550,11250,73,154,1,0
"355",355,1,1961-05-19,15,1,25950,17250,72,83,0,0
"356",356,1,1965-11-10,15,1,28350,15000,72,48,0,0
"357",357,0,1932-01-18,8,1,17700,10200,72,184,0,0
"358",358,0,1944-04-11,15,1,23550,13500,72,49,0,0
"359",359,0,1941-06-12,12,1,19950,10200,72,56,0,0
"360",360,0,1968-08-11,12,1,29400,15300,72,30,0,0
"361",361,0,1966-06-09,12,1,28800,13950,72,18,0,0
"362",362,0,1937-04-08,8,1,16950,10200,72,319,0,0
"363",363,1,1954-06-03,16,1,35700,18000,72,138,1,0
"364",364,0,1947-03-26,12,1,17400,10200,72,116,1,0
"365",365,0,1948-10-16,8,1,21450,10200,72,194,1,0
"366",366,0,1961-03-21,12,1,24750,12000,72,68,1,0
"367",367,0,1942-05-22,12,1,16950,10200,72,271,1,0
"368",368,0,1943-07-20,12,1,26100,13500,72,169,1,0
"369",369,1,1967-11-14,14,1,28050,15000,71,15,0,0
"370",370,0,1963-01-20,16,1,36600,18000,71,12,0,0
"371",371,0,1966-04-05,16,3,58125,18000,71,11,0,1
"372",372,1,1935-08-22,15,1,21300,15750,70,372,0,0
"373",373,1,1949-10-29,12,1,22500,16500,70,216,0,0
"374",374,1,1967-07-26,15,1,29400,15750,70,15,0,0
"375",375,1,1966-10-08,12,1,27450,14700,70,41,0,0
"376",376,1,1964-10-09,15,1,29850,15750,70,48,0,0
"377",377,1,1965-11-29,15,1,25350,15750,70,56,0,0
"378",378,0,1930-09-21,8,1,15750,10200,70,275,0,0
"379",379,0,1938-05-12,8,1,19650,13050,70,102,0,0
"380",380,0,1941-02-22,12,1,21000,13500,70,82,0,0
"381",381,1,1946-07-15,17,1,27000,18000,70,192,1,0
"382",382,1,1959-10-20,12,1,24000,15750,70,120,1,0
"383",383,1,1961-06-03,17,3,78500,28740,70,67,1,1
"384",384,0,1955-11-11,12,1,20850,13050,70,127,1,0
"385",385,1,1930-10-01,12,2,30000,15750,69,348,0,0
"386",386,1,1934-08-18,8,2,28500,15750,69,174,0,0
"387",387,1,1965-02-03,19,3,65000,31980,69,74,0,1
"388",388,1,1959-01-02,14,1,30150,16500,69,110,0,0
"389",389,1,1959-04-15,19,3,66875,32490,69,81,0,1
"390",390,0,1968-11-09,15,1,24150,13500,69,7,0,0
"391",391,0,1969-01-12,12,1,24450,12450,69,12,0,0
"392",392,0,1970-05-12,12,1,21600,12000,69,0,0,0
"393",393,0,1969-06-24,12,1,27900,12450,69,0,0,0
"394",394,0,1970-02-04,8,1,29100,12450,69,17,0,0
"395",395,0,1970-03-09,12,1,22650,11250,69,2,0,0
"396",396,0,1970-08-17,12,1,20850,11250,69,0,0,0
"397",397,0,1970-01-17,12,1,22950,12300,69,5,0,0
"398",398,0,1970-11-21,12,1,30600,12450,69,5,0,0
"399",399,0,1970-02-06,12,1,20400,11250,69,0,0,0
"400",400,0,1969-08-06,12,1,23850,12750,69,20,0,0
"401",401,0,1970-03-14,12,1,22800,11250,69,0,0,0
"402",402,0,1970-02-07,12,1,20700,11250,69,2,0,0
"403",403,0,1970-04-28,12,1,21300,11250,69,3,1,0
"404",404,0,1953-05-01,12,1,24300,15000,69,121,1,0
"405",405,0,1944-07-12,12,1,19650,13950,69,133,1,0
"406",406,1,1965-10-05,17,3,60000,32490,68,17,0,1
"407",407,1,1965-09-06,15,1,30300,15750,68,55,0,0
"408",408,1,1964-02-12,19,3,61250,33000,68,9,0,1
"409",409,1,1962-11-21,19,1,36000,19500,68,21,0,0
"410",410,0,1942-01-09,8,1,25200,18750,68,344,0,0
"411",411,0,1931-08-21,12,1,16200,10200,68,180,0,0
"412",412,0,1970-06-16,12,1,22800,11250,68,2,0,0
"413",413,0,1966-03-13,16,3,43500,19500,68,11,0,1
"414",414,1,1961-01-08,8,2,30300,15750,68,155,1,0
"415",415,1,1963-05-02,15,1,31950,15750,68,70,1,0
"416",416,1,1965-01-16,15,1,35250,13500,67,6,0,0
"417",417,1,1967-07-22,15,1,37800,15000,67,36,0,0
"418",418,1,1965-06-05,15,1,31200,15750,67,46,0,0
"419",419,1,1964-10-20,15,1,29400,16500,67,68,0,0
"420",420,1,1957-07-16,19,3,70000,35040,67,75,0,1
"421",421,1,1961-11-01,15,1,33900,15750,67,96,0,0
"422",422,1,1963-07-20,15,1,27150,16500,67,78,0,0
"423",423,0,1936-04-26,12,1,22200,13800,67,196,0,0
"424",424,0,1966-07-06,15,1,31350,11100,67,47,0,0
"425",425,0,1942-01-26,12,1,20850,13500,67,181,0,0
"426",426,1,1952-10-27,16,1,33300,17490,67,120,1,0
"427",427,1,1942-04-21,8,1,26250,16050,67,97,1,0
"428",428,1,1964-02-28,15,1,31950,15750,67,58,1,0
"429",429,1,1946-08-13,8,2,30000,15750,67,305,1,0
"430",430,1,1956-04-29,19,3,66250,34980,67,99,1,1
"431",431,1,1959-01-15,18,3,86250,45000,66,50,0,1
"432",432,1,1964-03-12,12,1,30750,15000,66,56,0,0
"433",433,1,1966-11-15,12,1,33540,15750,66,47,0,0
"434",434,1,NA,16,1,34950,20250,66,55,0,0
